repo_names,repo_urls,stars
Data-Analytics-Bootcamp,https://github.com/AlexTheAnalyst/Data-Analytics-Bootcamp,37
PythonYouTubeSeries,https://github.com/AlexTheAnalyst/PythonYouTubeSeries,25
PortfolioProjects,https://github.com/AlexTheAnalyst/PortfolioProjects,527
SQL-Code,https://github.com/AlexTheAnalyst/SQL-Code,248
Power-BI,https://github.com/AlexTheAnalyst/Power-BI,60
AlexTheAnalyst,https://github.com/AlexTheAnalyst/AlexTheAnalyst,108
Excel-Tutorial,https://github.com/AlexTheAnalyst/Excel-Tutorial,91
Alextheanalyst.com,https://github.com/AlexTheAnalyst/Alextheanalyst.com,16
AlexTheAnalyst2.github.io,https://github.com/AlexTheAnalyst/AlexTheAnalyst2.github.io,12
AlexTheAnalyst.github.io,https://github.com/AlexTheAnalyst/AlexTheAnalyst.github.io,18
PythonCode,https://github.com/AlexTheAnalyst/PythonCode,118
